case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case2010,CenterB,lesion_union,nnunet_oof,0.8794634765270981,0.665590405904059,0.8794634765270981,0.8844310314219777,0.94,0.023139907440370238,0.3730865076539694
Case2016,CenterB,scar,mosaic_clean_oof,0.787569178373776,0.8390668248319494,0.8390668248319494,0.8155268022181146,0.963739624290083,0.15008431703204048,0.03541315345699832
Case2016,CenterB,pure_edema,nnunet_oof,0.5546930134086098,0.0,0.5546930134086098,0.5546930134086098,0.6530951391773993,0.0,0.4848858729179519
Case2016,CenterB,lesion_union,nnunet_oof,0.7513023345552768,0.6009638554216867,0.7513023345552768,0.761005101076894,0.8355113047085667,0.02386889918061988,0.27324545778411113
Case2024,CenterB,scar,nnunet_oof,0.6725978647686833,0.6137635824827132,0.6725978647686833,0.6290875116786048,0.9564393939393939,0.23049001814882034,0.07078039927404718
Case2024,CenterB,pure_edema,nnunet_oof,0.6354920759146938,0.0,0.6354920759146938,0.6354920759146938,0.7828392383706917,0.0,0.6431683168316832
Case2024,CenterB,lesion_union,nnunet_oof,0.8204919146623183,0.5922330097087378,0.8204919146623183,0.8113674879415982,0.9235791660483751,0.02564102564102564,0.40391508133443615
Case2026,CenterB,scar,nnunet_oof,0.7915766738660908,0.7647893989588264,0.7915766738660908,0.8109564436461607,0.9299691040164778,0.16361886429258904,0.09143407122232916
Case2026,CenterB,pure_edema,nnunet_oof,0.6824529447480268,0.0,0.6824529447480268,0.6824529447480268,0.8495842781557067,0.0,0.7385019710906702
Case2026,CenterB,lesion_union,nnunet_oof,0.8631037439268362,0.6958942240779401,0.8631037439268362,0.875515251442704,0.9389920424403183,0.04611111111111111,0.32944444444444443
Case2027,CenterB,scar,mosaic_clean_oof,0.590703414232826,0.622841563162678,0.622841563162678,0.5940479630164692,0.9823220258002867,0.29107981220657275,0.0
